"name","type","gender","age","polarity","flag","Prolific_ID","attribute","rating"
"Alasdair","real","male","young","",1,"611fd3f10784b9ac086f3fa0","age",39
"Alasdair","real","male","young","",1,"614e12abbc34f9b934e63253","age",33
"Alasdair","real","male","young","",1,"6151ca50de1738d0a1e4af9c","age",13
"Alasdair","real","male","young","",1,"61538ed9576990603b1e59f8","age",12
"Alasdair","real","male","young","",1,"614fd677f7d779c4c232097d","age",25
"Alasdair","real","male","young","",1,"5b174c183522660001b3d332","age",14
"Alasdair","real","male","young","",1,"6155cd2ab5e7c30221de06d8","age",29
"Alasdair","real","male","young","",1,"6156b0f5f2fa56aa2b44d68b","age",36
"Alasdair","real","male","young","",1,"61515ae6a5095b42a1ebd75b","age",26
"Alasdair","real","male","young","",1,"6155f37cd8d1befb7702fd6c","age",28
"Alasdair","real","male","young","",1,"614dec5ed94018e14b565eec","age",29
"Alasdair","real","male","young","",1,"612d5293f3ed68abd146c461","age",-31
"Alasdair","real","male","young","",1,"614d962a7e4cdd1168b8031c","age",-3
"Alasdair","real","male","young","",1,"614e7e0e704ae4b36d866f33","age",14
"Alasdair","real","male","young","",1,"5db7722d1bf4c8000cffcd58","age",-11
"Alasdair","real","male","young","",1,"60fde5019e79712412b86751","age",40
"Alasdair","real","male","young","",1,"614f664f123f500c4ba38265","age",38
"Alasdair","real","male","young","",1,"614e5a2ab454a3955d58b24d","age",30
"Alasdair","real","male","young","",1,"614e32be22e681ba114a512f","age",6
"Alasdair","real","male","young","",1,"6155f53fc771902cafcf2d04","age",19
"Alasdair","real","male","young","",1,"614e42d24807d28bf312f649","age",33
"Alasdair","real","male","young","",1,"6156ac0e61c7c4d0c4cfaaa5","age",14
"Alasdair","real","male","young","",1,"61510290a620f95b74db8259","age",35
"Alasdair","real","male","young","",1,"614fabcacf0bcb5c949e7312","age",29
"Alasdair","real","male","young","",1,"6155d24e3306f96464879b38","age",-13
"Alasdair","real","male","young","",1,"614db383f10a163b30d8d45d","age",40
"Alastor","madeup","male","old","",0,"615628f39024e679836b778b","gender",-50
"Alastor","madeup","male","old","",0,"614fe0e4ec9ce4a2a4154771","gender",-47
"Alastor","madeup","male","old","",0,"6143643c1426f23202bf892f","gender",-31
"Alastor","madeup","male","old","",0,"6146d7fdc0c6541b9f5e8ab8","gender",-50
"Alastor","madeup","male","old","",0,"60ecf3e35c533826a4649cac","gender",-42
"Alastor","madeup","male","old","",0,"5c0ea3341f3f4f00010e3467","gender",-17
"Alastor","madeup","male","old","",0,"615484ff516b4ee1b698f33b","gender",-33
"Alastor","madeup","male","old","",0,"6109ce176ae516dd6b26e3fe","gender",-43
"Alastor","madeup","male","old","",0,"614f656b60ec6475f15b1f21","gender",-50
"Alastor","madeup","male","old","",0,"6151ca50de1738d0a1e4af9c","gender",-50
"Alastor","madeup","male","old","",0,"61009ba434c15cd5dc4a3044","gender",-50
"Alastor","madeup","male","old","",0,"610c1c302863aa2746e2cef2","gender",-26
"Alastor","madeup","male","old","",0,"5c37cc8e4c5b7c00019537e7","gender",-48
"Alastor","madeup","male","old","",0,"61006adbd2f63a454822e38c","gender",-49
"Alastor","madeup","male","old","",0,"61144c7b97ea0c782cc784e6","gender",-33
"Alastor","madeup","male","old","",0,"6155f37cd8d1befb7702fd6c","gender",-49
"Alastor","madeup","male","old","",0,"6148c7780c2de4b8904eaeb7","gender",-46
"Alastor","madeup","male","old","",0,"610b145aef597fac1136601e","gender",-50
"Alastor","madeup","male","old","",0,"60cea02ec3461971a1e93166","gender",-42
"Alastor","madeup","male","old","",0,"611166a05b55d401c9c15a00","gender",-37
"Alastor","madeup","male","old","",0,"614eaa491e505b2294ac39ff","gender",-50
"Alastor","madeup","male","old","",0,"6154ec12cb21624c227c63f4","gender",-50
"Alastor","madeup","male","old","",0,"61115ab11b7f126183cec731","gender",-27
"Alastor","madeup","male","old","",0,"614f763c033e48b3649609ed","gender",-40
"Alastor","madeup","male","old","",0,"614f2b714f94a692064faec0","gender",-50
"Alastor","madeup","male","old","",0,"614e5a2ab454a3955d58b24d","gender",-50
"Alastor","madeup","male","old","",0,"614fa15c0f4a7cbe8a3b1df8","gender",-48
"Alastor","madeup","male","old","",0,"614f839807047573fbf05134","gender",-31
"Alastor","madeup","male","old","",0,"6150a4bdc68160203fd0dc6b","gender",-50
"Alastor","madeup","male","old","",0,"6107ef29a3bfb9482098ceea","gender",9
"Alastor","madeup","male","old","",0,"615114f99309d0295ef4156a","gender",-28
"Alastor","madeup","male","old","",0,"614fabcacf0bcb5c949e7312","gender",-42
"Alastor","madeup","male","old","",0,"615078cd8d4cd7a7493316e6","gender",-50
"Alastor","madeup","male","old","",0,"61006bd55e41e70b64b1fbc4","gender",-50
"Alastor","madeup","male","old","",0,"614f548728318a7cd715fe22","gender",-17
"Alastor","madeup","male","old","",0,"61554525c24e44e0424f9425","gender",19
"Alastor","madeup","male","old","",0,"6150dd240ac46d69cf98aab6","age",-22
"Alastor","madeup","male","old","",0,"6154490b65a4a50942bff5c3","age",46
"Alastor","madeup","male","old","",0,"612d4c7ad41add54eddd0b88","age",29
"Alastor","madeup","male","old","",0,"5b5aea995256470001bc0cec","age",-9
"Alastor","madeup","male","old","",0,"5fbc7c8b02bb0c14bfbe08ef","age",-31
"Alastor","madeup","male","old","",0,"61539fd8e735dabf2874cd3f","age",21
"Alastor","madeup","male","old","",0,"614f530d5d0eee9f24bc39c9","age",34
"Alastor","madeup","male","old","",0,"6155b1c2bb8d69b855b20666","age",-30
"Alastor","madeup","male","old","",0,"61538ed9576990603b1e59f8","age",-14
"Alastor","madeup","male","old","",0,"5ed2bd34e1e0e70c6aea6adf","age",33
"Alastor","madeup","male","old","",0,"6155cd2ab5e7c30221de06d8","age",36
"Alastor","madeup","male","old","",0,"6156b0f5f2fa56aa2b44d68b","age",37
"Alastor","madeup","male","old","",0,"6151fd483e33a9a428d19e75","age",1
"Alastor","madeup","male","old","",0,"614bd5aa677e09a9132fcd16","age",16
"Alastor","madeup","male","old","",0,"5941a3814d0dac0001bf7d77","age",8
"Alastor","madeup","male","old","",0,"6143fae5439711464095a9aa","age",26
"Alastor","madeup","male","old","",0,"61539f48d20e1e5f4d9196b2","age",22
"Alastor","madeup","male","old","",0,"61530644cd8d165ac1903bd8","age",3
"Alastor","madeup","male","old","",0,"61560db6a537f0c454b23db0","age",-1
